theme,sub_theme,feature_name,co_ordinates
Transport,Railway Station,Flemington Bridge Railway Station,"{'lon': 144.939277838304, 'lat': -37.7881645889621}"
Mixed Use,Retail/Office/Carpark,Council House 2 (CH2),"{'lon': 144.966638432727, 'lat': -37.8142591432011}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Carlton Gardens South,"{'lon': 144.971266479841, 'lat': -37.8060684577258}"
Place of Worship,Church,Wesley Church,"{'lon': 144.968168215633, 'lat': -37.8101576446961}"
Place of Worship,Church,St Augustines Church,"{'lon': 144.954862000132, 'lat': -37.8169741358546}"
Place of Worship,Church,Church of Christ,"{'lon': 144.96388920294, 'lat': -37.8104524079085}"
Place of Worship,Church,Holy Trinity,"{'lon': 144.983197322289, 'lat': -37.8140667110854}"
Place of Worship,Church,Melbourne Unitarian Church,"{'lon': 144.984664890999, 'lat': -37.8114487773394}"
Place of Worship,Church,All Nations Uniting Church,"{'lon': 144.968981110942, 'lat': -37.7959155303946}"
Place of Worship,Church,Our Lady of Lebanon Church,"{'lon': 144.969334720932, 'lat': -37.8025766539683}"
Place of Worship,Church,St Alban Anglican Church,"{'lon': 144.94161451392, 'lat': -37.7942169477929}"
Place of Worship,Church,Christ Church Kensington,"{'lon': 144.92729572288, 'lat': -37.7932109480553}"
Place of Worship,Church,Holy Rosary,"{'lon': 144.928362125005, 'lat': -37.7948087414394}"
Health Services,Private Hospital,Melbourne Private Hospital,"{'lon': 144.95728837725, 'lat': -37.7983111309698}"
Community Use,Police Station,Victoria Police,"{'lon': 144.954697453742, 'lat': -37.8003121288849}"
Community Use,Police Station,Victoria Police,"{'lon': 144.953398014034, 'lat': -37.8219773910249}"
Leisure/Recreation,Private Sports Club/Facility,Royal Park Golf Course,"{'lon': 144.956309119368, 'lat': -37.7819171308558}"
Leisure/Recreation,Major Sports & Recreation Facility,Visy Park,"{'lon': 144.961982577553, 'lat': -37.7834303940347}"
Place Of Assembly,Art Gallery/Museum,Old Melbourne Gaol Crime & Justice Experience,"{'lon': 144.965463853978, 'lat': -37.8077644149636}"
Place Of Assembly,Theatre Live,Playhouse,"{'lon': 144.968337832721, 'lat': -37.8218124583016}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Batman Park,"{'lon': 144.956665812218, 'lat': -37.8218460949601}"
Office,Office,Australian Red Cross,"{'lon': 144.952635945774, 'lat': -37.7990921023192}"
Place Of Assembly,Function/Conference/Exhibition Centre,Melbourne Exhibition Centre,"{'lon': 144.95435243249, 'lat': -37.8252455123297}"
Place Of Assembly,Art Gallery/Museum,Polly Woodside,"{'lon': 144.953478052064, 'lat': -37.8242574266145}"
Place Of Assembly,Art Gallery/Museum,Victorian Arts Centre,"{'lon': 144.968837288153, 'lat': -37.8219947335768}"
Community Use,Public Buildings,Melbourne Town Hall,"{'lon': 144.966542722283, 'lat': -37.8150754791411}"
Mixed Use,Retail/Office,DFO South Wharf,"{'lon': 144.949794297819, 'lat': -37.824887401234}"
Community Use,Public Buildings,Sidney Myer Music Bowl,"{'lon': 144.974686151365, 'lat': -37.8233471608733}"
Health Services,Public Hospital,The Royal Victorian Eye & Ear Hospital,"{'lon': 144.976268275082, 'lat': -37.8087522829868}"
Place Of Assembly,Art Gallery/Museum,The Ian Potter Centre: NGV Australia,"{'lon': 144.969899048343, 'lat': -37.8174831423197}"
Purpose Built,Film & RV Studio,Channel 7 - Melbourne Broadcast Centre,"{'lon': 144.94582326909, 'lat': -37.8158572333481}"
Vacant Land,Current Construction Site,Harbour Town,"{'lon': 144.938123825625, 'lat': -37.8139256326845}"
Leisure/Recreation,Major Sports & Recreation Facility,AAMI Park,"{'lon': 144.98380297866, 'lat': -37.8247252673963}"
Place Of Assembly,Function/Conference/Exhibition Centre,Central Pier,"{'lon': 144.943475014215, 'lat': -37.8165177307702}"
Leisure/Recreation,Observation Tower/Wheel,Melbourne Star Observation Wheel,"{'lon': 144.937588920436, 'lat': -37.8116163666726}"
Education Centre,Further Education,Kangan Batman Tafe,"{'lon': 144.948908460665, 'lat': -37.8221818203024}"
Leisure/Recreation,Major Sports & Recreation Facility,Margaret Court Arena,"{'lon': 144.977591098955, 'lat': -37.8213252086842}"
Place Of Assembly,Theatre Live,MTC Theatre,"{'lon': 144.968174400274, 'lat': -37.8242661832902}"
Community Use,Public Buildings,NGV International,"{'lon': 144.969342535451, 'lat': -37.8230135000869}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Birrarung Marr,"{'lon': 144.97314667014, 'lat': -37.81806108403}"
Leisure/Recreation,Indoor Recreation Facility,Artplay,"{'lon': 144.971542586509, 'lat': -37.8184198800044}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Riverslide Skate Park,"{'lon': 144.972951789291, 'lat': -37.8207887122448}"
Transport,Railway Station,Macaulay Railway Station (North Melbourne) - Train stop,"{'lon': 144.936190756632, 'lat': -37.794964001386}"
Transport,Railway Station,Kensington Railway Station,"{'lon': 144.930710207518, 'lat': -37.7939140126373}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Royal Park,"{'lon': 144.953834240647, 'lat': -37.7906174256581}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Shrine of Rembrance Reserve,"{'lon': 144.973628364465, 'lat': -37.8320733992876}"
Residential Accommodation,Dwelling (House),Government House,"{'lon': 144.976655130464, 'lat': -37.8275635886174}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Royal Botanic Gardens,"{'lon': 144.980850432751, 'lat': -37.8306631583233}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Yarra Park,"{'lon': 144.986671109615, 'lat': -37.820469374101}"
Office,Office,Coronial Services Centre of Victoria,"{'lon': 144.96447462898, 'lat': -37.8243437355246}"
Leisure/Recreation,Indoor Recreation Facility,Icehouse,"{'lon': 144.935684018873, 'lat': -37.8121881194053}"
Transport,Railway Station,Parliament Railway Station,"{'lon': 144.973433796529, 'lat': -37.8127621113552}"
Transport,Railway Station,Parliament Railway Station,"{'lon': 144.972330132127, 'lat': -37.8095762219384}"
Transport,Railway Station,Melbourne Central Railway Station,"{'lon': 144.962670059539, 'lat': -37.8097759325888}"
Transport,Railway Station,Flemington Racecourse Railway Station,"{'lon': 144.908190706069, 'lat': -37.7869105822519}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Darling Square,"{'lon': 144.989062559512, 'lat': -37.81299206932}"
Place Of Assembly,Art Gallery/Museum,Victoria Police Museum,"{'lon': 144.954039975197, 'lat': -37.8222182774409}"
Place Of Assembly,Art Gallery/Museum,Immigration Museum,"{'lon': 144.960426777129, 'lat': -37.8191798798062}"
Place of Worship,Church,St Pauls Cathedral,"{'lon': 144.967681647402, 'lat': -37.8169549012399}"
Warehouse/Store,Store Yard,Melbourne Wholesale Fish Market,"{'lon': 144.930613255612, 'lat': -37.8083471006041}"
Place Of Assembly,Art Gallery/Museum,Fire Services Museum Victoria,"{'lon': 144.975373745366, 'lat': -37.8085761281612}"
Place Of Assembly,Art Gallery/Museum,The Ian Potter Museum Of Art,"{'lon': 144.964156669702, 'lat': -37.7973939595503}"
Education Centre,Tertiary (University),University of Melbourne,"{'lon': 144.96099520158, 'lat': -37.7982892284927}"
Mixed Use,Retail/Office/Residential/Carpark,QV Village,"{'lon': 144.965714574014, 'lat': -37.8106891897454}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parliament Reserve,"{'lon': 144.973462202839, 'lat': -37.809852620638}"
Leisure/Recreation,Major Sports & Recreation Facility,North Melbourne Recreation Centre (Aquatic),"{'lon': 144.943290801869, 'lat': -37.7999470049655}"
Office,Office,North Melbourne Football Club,"{'lon': 144.940963510723, 'lat': -37.799771364073}"
Leisure/Recreation,Gymnasium/Health Club,North Melbourne Recreation Centre (Gymnasium),"{'lon': 144.940368286395, 'lat': -37.7997051197931}"
Leisure/Recreation,Indoor Recreation Facility,Carlton Baths,"{'lon': 144.971696548624, 'lat': -37.7934377042609}"
Community Use,Public Buildings,Conservatory,"{'lon': 144.9785597431, 'lat': -37.814002127195}"
Mixed Use,Retail/Residential,Eureka Tower,"{'lon': 144.964456721965, 'lat': -37.8215157539717}"
Mixed Use,Retail/Office/Residential/Carpark,Freshwater Place,"{'lon': 144.96246144843, 'lat': -37.8219745489446}"
Community Use,Visitor Centre,Melbourne Visitor Centre,"{'lon': 144.967937138226, 'lat': -37.8177352402006}"
Place Of Assembly,Art Gallery/Museum,Australian Centre For The Moving Image (ACMI),"{'lon': 144.969070431323, 'lat': -37.8176107327202}"
Place Of Assembly,Function/Conference/Exhibition Centre,Dallas Brooks Centre,"{'lon': 144.981383411592, 'lat': -37.8097374138234}"
Place of Worship,Church,St Francis Church,"{'lon': 144.962422614541, 'lat': -37.8118847831837}"
Place of Worship,Church,St James Church,"{'lon': 144.952468571683, 'lat': -37.8101281201969}"
Place of Worship,Church,St Mary's Anglican Church,"{'lon': 144.953761537074, 'lat': -37.8031663672997}"
Place of Worship,Church,Scots Church,"{'lon': 144.96855105335, 'lat': -37.8145687802664}"
Place of Worship,Church,St Michael's Uniting Church,"{'lon': 144.969174036096, 'lat': -37.8143851324913}"
Place of Worship,Church,Greek Orthodox Church,"{'lon': 144.978259089269, 'lat': -37.8088064667555}"
Place of Worship,Church,North Melbourne Uniting,"{'lon': 144.947671538375, 'lat': -37.8035538471344}"
Place of Worship,Church,South Yarra Presbyterian Church,"{'lon': 144.98562699348, 'lat': -37.8407473645397}"
Place of Worship,Synagogue,East Melbourne Synagogue,"{'lon': 144.97422190954, 'lat': -37.809113728917}"
Transport,Transport Terminal,Port of Melbourne,"{'lon': 144.91753432375, 'lat': -37.8137384362671}"
Leisure/Recreation,Major Sports & Recreation Facility,Carlton Football Club,"{'lon': 144.961967841559, 'lat': -37.7840864379557}"
Education Centre,Primary Schools,Carlton Gardens Primary School,"{'lon': 144.969406272035, 'lat': -37.8020953835112}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Carlton Gardens North,"{'lon': 144.971997551189, 'lat': -37.8017690847403}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Kings Domain,"{'lon': 144.974107925144, 'lat': -37.8255239795833}"
Education Centre,Secondary Schools,Melbourne Grammar School,"{'lon': 144.976285045233, 'lat': -37.8342561018747}"
Place Of Assembly,Theatre Live,FairFax Studio,"{'lon': 144.968836241692, 'lat': -37.8216684581887}"
Leisure/Recreation,Major Sports & Recreation Facility,Flemington Racecourse,"{'lon': 144.912142987372, 'lat': -37.7908082646624}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Treasury Gardens,"{'lon': 144.975952335785, 'lat': -37.8143993575938}"
Mixed Use,Retail/Office,Treasury Reserve,"{'lon': 144.975236759799, 'lat': -37.8129178793082}"
Health Services,Private Hospital,Epworth Freemasons Hospital : Medical Centre,"{'lon': 144.982336768182, 'lat': -37.8093444587231}"
Community Use,Government Building,Melbourne Magistrates Court,"{'lon': 144.956846193891, 'lat': -37.8136147671606}"
Transport,Railway Station,Flagstaff Railway Station,"{'lon': 144.956318211113, 'lat': -37.8122356514626}"
Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Cricket Ground (MCG),"{'lon': 144.983402879078, 'lat': -37.8194921618419}"
Vacant Land,Vacant Land - Undeveloped Site,Melbourne International Karting Complex,"{'lon': 144.913822928701, 'lat': -37.8310746380616}"
Mixed Use,Retail/Office/Carpark,Southgate Arts and Leisure Precinct,"{'lon': 144.965989052839, 'lat': -37.8202245786597}"
Place Of Assembly,Art Gallery/Museum,Australian Centre for Contemporary Art,"{'lon': 144.967252924593, 'lat': -37.8266045432686}"
Place of Worship,Church,St Patricks Cathedral,"{'lon': 144.975901529712, 'lat': -37.8101140950474}"
Office,Office,Parliament House,"{'lon': 144.97372641185, 'lat': -37.811246655376}"
Office,Office,Former Royal Mint,"{'lon': 144.957055454136, 'lat': -37.8121838748712}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Queen Victoria Gardens,"{'lon': 144.971049530478, 'lat': -37.8216381244891}"
Office,Office,SBS (Special Broadcasting Service),"{'lon': 144.968740597156, 'lat': -37.8176921210305}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Federation Square,"{'lon': 144.968963600783, 'lat': -37.8178516571684}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),New Quay,"{'lon': 144.941617889032, 'lat': -37.8152178789077}"
Purpose Built,Film & RV Studio,Central City Studios,"{'lon': 144.935655305362, 'lat': -37.8142318521296}"
Transport,Marina,New Quay Marina,"{'lon': 144.942283726231, 'lat': -37.8152925454954}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Newmarket Reserve,"{'lon': 144.922972125346, 'lat': -37.7878473341234}"
Health Services,Public Hospital,Royal Womens Hospital,"{'lon': 144.954897253856, 'lat': -37.7988892460088}"
Specialist Residential Accommodation,Hostel,The Mission To Seafarers Victoria,"{'lon': 144.951254841448, 'lat': -37.8224995970811}"
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Wonderland Park,"{'lon': 144.936833674975, 'lat': -37.8116945351989}"
Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,"{'lon': 144.978487173787, 'lat': -37.8220456119807}"
Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Park,"{'lon': 144.978735802793, 'lat': -37.8209085970021}"
Leisure/Recreation,Major Sports & Recreation Facility,Hisense Arena,"{'lon': 144.981834802535, 'lat': -37.823110002667}"
Place Of Assembly,Art Gallery/Museum,Melbourne Museum,"{'lon': 144.971690718887, 'lat': -37.8035518129299}"
Community Use,Public Buildings,Elisabeth Murdoch Hall,"{'lon': 144.967450979234, 'lat': -37.8239733704282}"
Community Use,Public Buildings,Melbourne Recital Centre,"{'lon': 144.967682729667, 'lat': -37.8238327885805}"
