theme,sub_theme,feature_name,co_ordinates
Place Of Assembly,Theatre Live,Hamer Hall,"{'lon': 144.967992144257, 'lat': -37.8199901009015}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),J.J Holland Park,"{'lon': 144.923837074813, 'lat': -37.7982358832177}"
Transport,Railway Station,South Kensington Railway Station,"{'lon': 144.925837749713, 'lat': -37.7997270537735}"
Health Services,Public Hospital,Royal Childrens Hospital,"{'lon': 144.950048264678, 'lat': -37.7942060847278}"
Transport,Railway Station,Royal Park Railway Station,"{'lon': 144.951667833921, 'lat': -37.7812684282825}"
Place Of Assembly,Art Gallery/Museum,National Sports Museum,"{'lon': 144.984669809381, 'lat': -37.8189544909462}"
Office,Office,State Coroners Office,"{'lon': 144.964675254819, 'lat': -37.8244982228756}"
Transport,Railway Station,Flagstaff Railway Station,"{'lon': 144.9561186805, 'lat': -37.8116384403974}"
Transport,Railway Station,Melbourne Central Railway Station,"{'lon': 144.96169061383, 'lat': -37.8105992402369}"
Transport,Railway Station,Melbourne Central Railway Station,"{'lon': 144.963100728702, 'lat': -37.8108930047401}"
Place Of Assembly,Theatre Live,Athanaeum Theatre,"{'lon': 144.96732254212, 'lat': -37.814954347831}"
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Riverside Park,"{'lon': 144.915607065132, 'lat': -37.7948375315825}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Flagstaff Gardens,"{'lon': 144.954696055235, 'lat': -37.8111222889277}"
Education Centre,Primary Schools,North Melbourne Primary School,"{'lon': 144.951065772876, 'lat': -37.7986737155551}"
Place Of Assembly,Theatre Live,Her Majesty's Theatre,"{'lon': 144.969520183129, 'lat': -37.8109975612842}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Fawkner Park,"{'lon': 144.981625667877, 'lat': -37.8413996708186}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Fitzroy Gardens,"{'lon': 144.980455714669, 'lat': -37.8129616331579}"
Place Of Assembly,Art Gallery/Museum,Sinclair's Cottage,"{'lon': 144.980554992725, 'lat': -37.8145407488014}"
Education Centre,Tertiary (University),BIO 21 Institute,"{'lon': 144.953780325865, 'lat': -37.7978743305343}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Enterprize Park,"{'lon': 144.959276859602, 'lat': -37.820210269629}"
Transport,Railway Station,Flinders Street Railway Station,"{'lon': 144.967064817875, 'lat': -37.8179063007545}"
Community Use,Fire Station,Metropolitan Fire Brigade (MFB),"{'lon': 144.975247619376, 'lat': -37.8092318636838}"
Health Services,Public Hospital,Royal Melbourne Hospital,"{'lon': 144.956389746765, 'lat': -37.7993071664096}"
Place Of Assembly,Art Gallery/Museum,Koorie Heritage Trust Inc,"{'lon': 144.954027907736, 'lat': -37.8133854259085}"
Community Use,Public Buildings,Commonwealth Law Courts,"{'lon': 144.955823833257, 'lat': -37.8123961677596}"
Education Centre,Tertiary (University),RMIT University,"{'lon': 144.964452974798, 'lat': -37.8080795360545}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Macarthur Square,"{'lon': 144.971514146104, 'lat': -37.7983318676737}"
Leisure/Recreation,Major Sports & Recreation Facility,City Baths,"{'lon': 144.963189789721, 'lat': -37.8071585350561}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Westgate Park,"{'lon': 144.908824792698, 'lat': -37.8314918578874}"
Transport,Railway Station,North Melbourne Railway Station,"{'lon': 144.942429848025, 'lat': -37.8073823625058}"
Place Of Assembly,Art Gallery/Museum,Cooks' Cottage,"{'lon': 144.979471339826, 'lat': -37.8144604899837}"
Place Of Assembly,Art Gallery/Museum,Royal Exhibition Building,"{'lon': 144.971521914952, 'lat': -37.80460262432}"
Community Use,Public Buildings,Melbourne Childrens Court,"{'lon': 144.958298873269, 'lat': -37.8125077646598}"
Leisure/Recreation,Major Sports & Recreation Facility,Etihad Stadium,"{'lon': 144.947496254547, 'lat': -37.8161760471742}"
Leisure/Recreation,Observation Tower/Wheel,Eureka Skydeck 88,"{'lon': 144.964622218598, 'lat': -37.8216187583314}"
Community Use,Public Buildings,County Court Melbourne,"{'lon': 144.957734246387, 'lat': -37.8132011619962}"
Health Services,Public Hospital,Peter Maccallum Cancer Institute,"{'lon': 144.977400949063, 'lat': -37.8114766732026}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Sandridge Rail Bridge,"{'lon': 144.96298113724, 'lat': -37.8201763042794}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Lincoln Square,"{'lon': 144.962760852233, 'lat': -37.8027919689732}"
Health Services,Private Hospital,Epworth Freemasons Hospital,"{'lon': 144.98370007659, 'lat': -37.8109710654051}"
Residential Accommodation,Dwelling (House),Bishopscourt,"{'lon': 144.98350690799, 'lat': -37.8132921649416}"
Place Of Assembly,Art Gallery/Museum,The Museum Of Australian Chinese History,"{'lon': 144.96923385414, 'lat': -37.8107686127655}"
Place Of Assembly,Library,The Melbourne Athenaeum Library,"{'lon': 144.967291289941, 'lat': -37.8148855756416}"
Place of Worship,Church,Romanian Orthodox,"{'lon': 144.966986444597, 'lat': -37.8052307297468}"
Place of Worship,Church,Welsh Presbyterian Church,"{'lon': 144.959873260087, 'lat': -37.8104478768313}"
Place of Worship,Church,St Peter's Eastern Hill,"{'lon': 144.975259178609, 'lat': -37.8097086714637}"
Place of Worship,Church,Lutheran Trinity Church,"{'lon': 144.975729473552, 'lat': -37.8109757054396}"
Place of Worship,Church,St Johns Lutheran Church,"{'lon': 144.967121099857, 'lat': -37.8209399677168}"
Place of Worship,Church,St Michaels,"{'lon': 144.945399480629, 'lat': -37.7940512679297}"
Place of Worship,Church,Ukranian Catholic Cathedral,"{'lon': 144.944313454028, 'lat': -37.7963084580345}"
Place of Worship,Church,Collins Street Baptist Church,"{'lon': 144.968072486031, 'lat': -37.8147011904647}"
Place of Worship,Church,St Thomas Aquinas Church,"{'lon': 144.976809080472, 'lat': -37.8353076902578}"
Place of Worship,Church,The Parish of Christ Church South Yarra,"{'lon': 144.986009385387, 'lat': -37.8386270533576}"
Community Use,Police Station,Victoria Police,"{'lon': 144.966486801188, 'lat': -37.8164849024046}"
Community Use,Visitor Centre,Melbourne Visitor Booth,"{'lon': 144.964425882562, 'lat': -37.8139525061193}"
Leisure/Recreation,Major Sports & Recreation Facility,State Netball Hockey Centre,"{'lon': 144.947580972027, 'lat': -37.7857860016289}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),University Square,"{'lon': 144.960398319302, 'lat': -37.800410711209}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Powlett Reserve,"{'lon': 144.987275671763, 'lat': -37.8116929882498}"
Community Use,Cemetery,Melbourne General Cemetery,"{'lon': 144.965785979892, 'lat': -37.7891890023616}"
Retail,Retail,Queen Victoria Market,"{'lon': 144.957158515056, 'lat': -37.8075002018073}"
Education Centre,Primary Schools,Carlton Primary School,"{'lon': 144.970147317976, 'lat': -37.7959079757171}"
Education Centre,School - Primary and Secondary Education,Wesley College,"{'lon': 144.982227770988, 'lat': -37.8485201804496}"
Place Of Assembly,Theatre Live,State Theatre,"{'lon': 144.968469643744, 'lat': -37.8212806349773}"
Education Centre,Tertiary (University),University of Melbourne (VCA and Music),"{'lon': 144.96933253996, 'lat': -37.8241137662047}"
Place Of Assembly,Theatre Live,St Martins Youth Arts Centre,"{'lon': 144.98114217385, 'lat': -37.8352429531289}"
Transport,Railway Station,Southern Cross Railway Station,"{'lon': 144.952944748845, 'lat': -37.8181633057171}"
Place Of Assembly,Theatre Live,Princess Theatre,"{'lon': 144.9723265962, 'lat': -37.8107257091302}"
Education Centre,Secondary Schools,University High School,"{'lon': 144.956034449946, 'lat': -37.7973136216903}"
Community Use,Public Buildings,State Library Victoria,"{'lon': 144.964330322397, 'lat': -37.8099852201226}"
Place Of Assembly,Theatre Live,Regent Theatre,"{'lon': 144.967916735261, 'lat': -37.8160014744179}"
Office,Office,Old Treasury Building,"{'lon': 144.974423610255, 'lat': -37.8132371662585}"
Community Use,Public Buildings,Supreme Court,"{'lon': 144.957894024264, 'lat': -37.8141494182814}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Richmond Football Club,"{'lon': 144.988156318781, 'lat': -37.8216740022008}"
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Melbourne Zoo,"{'lon': 144.951371205938, 'lat': -37.7844449253712}"
Office,Office,Australian Broadcasting Corporation (ABC),"{'lon': 144.966551401578, 'lat': -37.823813323734}"
Place Of Assembly,Function/Conference/Exhibition Centre,Melbourne Convention Centre,"{'lon': 144.952288281644, 'lat': -37.8249040484653}"
Leisure/Recreation,Private Sports Club/Facility,Melbourne International Shooting Club,"{'lon': 144.913415802464, 'lat': -37.8292844929826}"
Place Of Assembly,Theatre Live,Malthouse Theatre,"{'lon': 144.966936821789, 'lat': -37.8271768001126}"
Purpose Built,Casino,Crown Entertainment Complex,"{'lon': 144.957312880653, 'lat': -37.8235761092516}"
Place Of Assembly,Art Gallery/Museum,Thoroughbred Racing Gallery,"{'lon': 144.9839700954, 'lat': -37.8188662730911}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Docklands Park,"{'lon': 144.946781702342, 'lat': -37.8209956785618}"
Mixed Use,Retail/Office,Waterfront City,"{'lon': 144.939136876334, 'lat': -37.815056661803}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Point Park,"{'lon': 144.942102276731, 'lat': -37.8233522700646}"
Education Centre,Primary Schools,Kensington Primary School,"{'lon': 144.927108735461, 'lat': -37.7925235045455}"
Place Of Assembly,Art Gallery/Museum,Fox Classic Car Collection,"{'lon': 144.948496661709, 'lat': -37.8213744301481}"
Vacant Land,Current Construction Site - Commercial,Railway Good Shed No 2,"{'lon': 144.951378883631, 'lat': -37.8211371302179}"
Place Of Assembly,Cinema,IMAX Melbourne,"{'lon': 144.970639929886, 'lat': -37.8034315561903}"
Community Use,Public Buildings,Melbourne Theatre Company,"{'lon': 144.968297429894, 'lat': -37.823930384816}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Alexandra Gardens,"{'lon': 144.971796067365, 'lat': -37.8206051404251}"
Transport,Railway Station,Parliament Railway Station,"{'lon': 144.973017263156, 'lat': -37.8116061787171}"
Transport,Railway Station,Richmond Railway Station (Richmond) - Train stop,"{'lon': 144.989400751664, 'lat': -37.8238992659834}"
Transport,Railway Station,Jolimont-MCG Railway Station (East Melbourne) - Train stop,"{'lon': 144.983641003377, 'lat': -37.8165651811668}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),North Melbourne Recreation Reserve,"{'lon': 144.941452061463, 'lat': -37.7988345257153}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Princes Park,"{'lon': 144.961115214367, 'lat': -37.7870161727156}"
Community Use,Public Buildings,Shrine of Remembrance,"{'lon': 144.973441913623, 'lat': -37.8302080020387}"
Office,Office,Victorian Insitute of Forensic Medicine,"{'lon': 144.964979061564, 'lat': -37.8246924089335}"
Office,Office,Donor Tissue Bank of Victoria,"{'lon': 144.965169035668, 'lat': -37.8248231859563}"
Transport,Railway Station,Parliament Railway Station,"{'lon': 144.973742010011, 'lat': -37.8121572789173}"
Transport,Railway Station,Showgrounds Railway Station (Flemington),"{'lon': 144.914902626775, 'lat': -37.7834651216244}"
Transport,Railway Station,Newmarket Railway Station,"{'lon': 144.929059958114, 'lat': -37.7872726241965}"
Health Services,Public Hospital,Alfred Hospital,"{'lon': 144.981786260765, 'lat': -37.8462631206461}"
Place Of Assembly,Theatre Live,Carlton Courthouse Theatre,"{'lon': 144.968750113566, 'lat': -37.7976589943217}"
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Melbourne Showgrounds,"{'lon': 144.910822117306, 'lat': -37.7823097850883}"
Place Of Assembly,Theatre Live,Comedy Theatre,"{'lon': 144.97013311862, 'lat': -37.8102053945163}"
Place Of Assembly,Theatre Live,La Mama Theatre,"{'lon': 144.967669503083, 'lat': -37.7991304956733}"
Industrial,Industrial (Manufacturing),Kraft,"{'lon': 144.923475698195, 'lat': -37.8262313085528}"
Place Of Assembly,Theatre Live,Forum Theatre,"{'lon': 144.969386556998, 'lat': -37.816485409696}"
Mixed Use,Retail/Office/Carpark,"Melbourne Wholesale Fruit, Vegetable & Flower Market","{'lon': 144.923287444259, 'lat': -37.80687252157}"
Mixed Use,Retail/Office/Carpark,Melbourne Central,"{'lon': 144.962749729496, 'lat': -37.8105371797142}"
Transport,Railway Station,Melbourne Central Railway Station,"{'lon': 144.963789344893, 'lat': -37.8100167030855}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Argyle Square,"{'lon': 144.965761295089, 'lat': -37.8031480577285}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Piazza Italia,"{'lon': 144.965863092947, 'lat': -37.8025164192523}"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Murchinson Square,"{'lon': 144.973059252203, 'lat': -37.8002735025371}"
Purpose Built,Aquarium,Melbourne Aquarium,"{'lon': 144.958425696055, 'lat': -37.8209627824685}"
Leisure/Recreation,Major Sports & Recreation Facility,Westpac Centre,"{'lon': 144.979720306309, 'lat': -37.8242456858593}"
Health Services,Public Hospital,Royal Dental Hospital,"{'lon': 144.964526842767, 'lat': -37.7995065904416}"
Transport,Bridge,Webb Bridge,"{'lon': 144.947291011905, 'lat': -37.8232052384507}"
Education Centre,School - Primary and Secondary Education,Melbourne Girls Grammar School,"{'lon': 144.985089428348, 'lat': -37.8315364518803}"
Retail,Department Store,Myer,"{'lon': 144.963855087868, 'lat': -37.8135911985281}"
Retail,Department Store,David Jones,"{'lon': 144.964373486798, 'lat': -37.8133127260638}"
Health Services,Medical Services,Mercy Private Hospital,"{'lon': 144.984435746587, 'lat': -37.811896809802}"
Mixed Use,Retail/Office/Carpark,ANZ 'Gothic' Bank,"{'lon': 144.961673719242, 'lat': -37.8161580666029}"
