Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2023,June,1 North West Metro, Banyule,"7,862","6,112.3"
2023,June,1 North West Metro, Brimbank,"17,122","8,732.1"
2023,June,1 North West Metro, Darebin,"13,244","8,639.1"
2023,June,1 North West Metro, Hobsons Bay,"5,647","6,078.5"
2023,June,1 North West Metro, Hume,"18,257","7,049.4"
2023,June,1 North West Metro, Maribyrnong,"9,264","10,283.4"
2023,June,1 North West Metro, Melbourne,"34,509","20,139.2"
2023,June,1 North West Metro, Melton,"12,186","5,985.8"
2023,June,1 North West Metro, Merri-bek,"12,608","7,121.7"
2023,June,1 North West Metro, Moonee Valley,"7,908","6,335.3"
2023,June,1 North West Metro, Nillumbik,"1,633","2,580.8"
2023,June,1 North West Metro, Whittlesea,"12,921","5,318.1"
2023,June,1 North West Metro, Wyndham,"18,340","5,719.6"
2023,June,1 North West Metro, Yarra,"12,578","13,232.0"
2023,June,1 North West Metro,Total,"184,079","7,938.8"
2023,June,2 Eastern, Alpine,439,"3,315.3"
2023,June,2 Eastern, Bass Coast,"2,787","6,518.2"
2023,June,2 Eastern, Baw Baw,"4,384","7,203.5"
2023,June,2 Eastern, Benalla,"1,476","10,136.7"
2023,June,2 Eastern, Boroondara,"7,709","4,463.2"
2023,June,2 Eastern, East Gippsland,"5,035","10,186.9"
2023,June,2 Eastern, Greater Shepparton,"9,238","13,299.4"
2023,June,2 Eastern, Indigo,707,"4,024.6"
2023,June,2 Eastern, Knox,"9,927","6,165.8"
2023,June,2 Eastern, Latrobe,"11,672","14,921.2"
2023,June,2 Eastern, Manningham,"4,453","3,488.4"
2023,June,2 Eastern, Mansfield,471,"4,468.6"
2023,June,2 Eastern, Maroondah,"7,591","6,489.6"
2023,June,2 Eastern, Mitchell,"3,982","7,295.5"
2023,June,2 Eastern, Moira,"2,361","7,684.6"
2023,June,2 Eastern, Monash,"12,785","6,453.3"
2023,June,2 Eastern, Murrindindi,791,"5,083.5"
2023,June,2 Eastern, South Gippsland,"1,979","6,382.2"
2023,June,2 Eastern, Strathbogie,548,"4,685.2"
2023,June,2 Eastern, Towong,209,"3,365.7"
2023,June,2 Eastern, Wangaratta,"2,665","8,843.6"
2023,June,2 Eastern, Wellington,"4,492","9,745.2"
2023,June,2 Eastern, Whitehorse,"8,852","5,053.0"
2023,June,2 Eastern, Wodonga,"3,966","8,956.7"
2023,June,2 Eastern, Yarra Ranges,"7,373","4,658.4"
2023,June,2 Eastern,Total,"115,892","6,672.5"
2023,June,3 Southern Metro, Bayside,"5,411","5,259.8"
2023,June,3 Southern Metro, Cardinia,"6,806","5,343.2"
2023,June,3 Southern Metro, Casey,"22,075","5,666.8"
2023,June,3 Southern Metro, Frankston,"13,642","9,614.8"
2023,June,3 Southern Metro, Glen Eira,"7,468","4,870.0"
2023,June,3 Southern Metro, Greater Dandenong,"18,829","11,696.0"
2023,June,3 Southern Metro, Kingston,"12,040","7,447.7"
2023,June,3 Southern Metro, Mornington Peninsula,"9,513","5,562.8"
2023,June,3 Southern Metro, Port Phillip,"12,961","11,940.8"
2023,June,3 Southern Metro, Stonnington,"11,413","10,447.0"
2023,June,3 Southern Metro,Total,"120,158","7,387.6"
2023,June,4 Western, Ararat,"1,388","11,781.2"
2023,June,4 Western, Ballarat,"11,440","9,687.2"
2023,June,4 Western, Buloke,417,"6,850.2"
2023,June,4 Western, Campaspe,"3,816","9,866.4"
2023,June,4 Western, Central Goldfields,"1,143","8,398.9"
2023,June,4 Western, Colac-Otway,"1,557","7,008.4"
2023,June,4 Western, Corangamite,692,"4,338.7"
2023,June,4 Western, Gannawarra,868,"8,265.2"
2023,June,4 Western, Glenelg,"1,607","8,025.9"
2023,June,4 Western, Golden Plains,668,"2,593.4"
2023,June,4 Western, Greater Bendigo,"11,106","8,929.7"
2023,June,4 Western, Greater Geelong,"21,401","7,572.5"
2023,June,4 Western, Hepburn,700,"4,199.8"
2023,June,4 Western, Hindmarsh,268,"4,798.3"
2023,June,4 Western, Horsham,"2,587","12,682.2"
2023,June,4 Western, Loddon,440,"5,675.8"
2023,June,4 Western, Macedon Ranges,"2,231","4,215.9"
2023,June,4 Western, Mildura,"7,796","13,557.8"
2023,June,4 Western, Moorabool,"2,378","6,032.9"
2023,June,4 Western, Mount Alexander,956,"4,653.6"
2023,June,4 Western, Moyne,604,"3,430.1"
2023,June,4 Western, Northern Grampians,999,"8,405.8"
2023,June,4 Western, Pyrenees,379,"4,941.3"
2023,June,4 Western, Queenscliffe,65,"1,946.8"
2023,June,4 Western, Southern Grampians,"1,203","7,370.1"
2023,June,4 Western, Surf Coast,"1,130","2,851.9"
2023,June,4 Western, Swan Hill,"2,180","10,283.9"
2023,June,4 Western, Warrnambool,"3,105","8,694.4"
2023,June,4 Western, West Wimmera,146,"3,735.6"
2023,June,4 Western, Yarriambiack,458,"7,165.7"
2023,June,4 Western,Total,"83,728","7,795.0"
2023,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"2,417",
2023,June,Justice Institutions and Immigration Facilities,Total,"2,417",
2023,June,Unincorporated Vic, Unincorporated Vic,101,
2023,June,Unincorporated Vic,Total,101,
2022,June,1 North West Metro, Banyule,"7,320","5,751.6"
2022,June,1 North West Metro, Brimbank,"16,369","8,474.9"
2022,June,1 North West Metro, Darebin,"12,543","8,343.9"
2022,June,1 North West Metro, Hobsons Bay,"6,211","6,770.5"
2022,June,1 North West Metro, Hume,"17,288","6,840.7"
2022,June,1 North West Metro, Maribyrnong,"8,493","9,718.2"
2022,June,1 North West Metro, Melbourne,"34,886","21,829.3"
2022,June,1 North West Metro, Melton,"12,091","6,269.2"
2022,June,1 North West Metro, Merri-bek,"11,366","6,513.4"
2022,June,1 North West Metro, Moonee Valley,"7,818","6,358.1"
2022,June,1 North West Metro, Nillumbik,"1,833","2,908.1"
2022,June,1 North West Metro, Whittlesea,"11,964","5,053.1"
2022,June,1 North West Metro, Wyndham,"16,297","5,280.6"
2022,June,1 North West Metro, Yarra,"12,423","13,486.0"
2022,June,1 North West Metro,Total,"176,902","7,850.9"
2022,June,2 Eastern, Alpine,546,"4,144.2"
2022,June,2 Eastern, Bass Coast,"2,962","7,096.1"
2022,June,2 Eastern, Baw Baw,"4,171","7,047.8"
2022,June,2 Eastern, Benalla,"1,319","9,128.0"
2022,June,2 Eastern, Boroondara,"7,050","4,161.5"
2022,June,2 Eastern, East Gippsland,"4,916","10,055.8"
2022,June,2 Eastern, Greater Shepparton,"8,265","12,000.3"
2022,June,2 Eastern, Indigo,666,"3,826.0"
2022,June,2 Eastern, Knox,"9,096","5,706.3"
2022,June,2 Eastern, Latrobe,"10,735","13,832.7"
2022,June,2 Eastern, Manningham,"3,767","2,980.9"
2022,June,2 Eastern, Mansfield,420,"4,070.6"
2022,June,2 Eastern, Maroondah,"7,195","6,221.6"
2022,June,2 Eastern, Mitchell,"3,593","6,967.4"
2022,June,2 Eastern, Moira,"1,972","6,457.1"
2022,June,2 Eastern, Monash,"11,275","5,790.8"
2022,June,2 Eastern, Murrindindi,746,"4,861.5"
2022,June,2 Eastern, South Gippsland,"1,704","5,554.1"
2022,June,2 Eastern, Strathbogie,660,"5,740.1"
2022,June,2 Eastern, Towong,154,"2,489.1"
2022,June,2 Eastern, Wangaratta,"2,264","7,576.5"
2022,June,2 Eastern, Wellington,"4,455","9,736.9"
2022,June,2 Eastern, Whitehorse,"7,446","4,321.1"
2022,June,2 Eastern, Wodonga,"3,542","8,117.3"
2022,June,2 Eastern, Yarra Ranges,"7,000","4,449.0"
2022,June,2 Eastern,Total,"105,919","6,187.1"
2022,June,3 Southern Metro, Bayside,"4,548","4,454.4"
2022,June,3 Southern Metro, Cardinia,"6,287","5,110.6"
2022,June,3 Southern Metro, Casey,"19,405","5,127.2"
2022,June,3 Southern Metro, Frankston,"11,715","8,308.4"
2022,June,3 Southern Metro, Glen Eira,"6,648","4,386.7"
2022,June,3 Southern Metro, Greater Dandenong,"15,609","9,815.7"
2022,June,3 Southern Metro, Kingston,"9,712","6,073.5"
2022,June,3 Southern Metro, Mornington Peninsula,"9,107","5,369.7"
2022,June,3 Southern Metro, Port Phillip,"12,051","11,605.8"
2022,June,3 Southern Metro, Stonnington,"10,468","9,846.7"
2022,June,3 Southern Metro,Total,"105,550","6,618.3"
2022,June,4 Western, Ararat,"1,252","10,663.5"
2022,June,4 Western, Ballarat,"10,463","9,031.7"
2022,June,4 Western, Buloke,311,"5,090.0"
2022,June,4 Western, Campaspe,"3,285","8,531.1"
2022,June,4 Western, Central Goldfields,"1,160","8,592.0"
2022,June,4 Western, Colac-Otway,"1,584","7,142.5"
2022,June,4 Western, Corangamite,818,"5,119.9"
2022,June,4 Western, Gannawarra,777,"7,380.3"
2022,June,4 Western, Glenelg,"1,830","9,142.7"
2022,June,4 Western, Golden Plains,620,"2,451.0"
2022,June,4 Western, Greater Bendigo,"10,006","8,164.8"
2022,June,4 Western, Greater Geelong,"20,148","7,296.9"
2022,June,4 Western, Hepburn,561,"3,388.7"
2022,June,4 Western, Hindmarsh,378,"6,747.6"
2022,June,4 Western, Horsham,"2,404","11,826.6"
2022,June,4 Western, Loddon,504,"6,520.9"
2022,June,4 Western, Macedon Ranges,"1,943","3,727.1"
2022,June,4 Western, Mildura,"7,256","12,695.1"
2022,June,4 Western, Moorabool,"1,939","5,038.5"
2022,June,4 Western, Mount Alexander,986,"4,859.1"
2022,June,4 Western, Moyne,770,"4,410.6"
2022,June,4 Western, Northern Grampians,"1,041","8,774.4"
2022,June,4 Western, Pyrenees,422,"5,519.9"
2022,June,4 Western, Queenscliffe,130,"4,054.9"
2022,June,4 Western, Southern Grampians,"1,120","6,840.1"
2022,June,4 Western, Surf Coast,"1,231","3,188.3"
2022,June,4 Western, Swan Hill,"2,314","10,911.5"
2022,June,4 Western, Warrnambool,"2,987","8,409.3"
2022,June,4 Western, West Wimmera,169,"4,291.5"
2022,June,4 Western, Yarriambiack,423,"6,573.4"
2022,June,4 Western,Total,"78,832","7,444.7"
2022,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,806",
2022,June,Justice Institutions and Immigration Facilities,Total,"1,806",
2022,June,Unincorporated Vic, Unincorporated Vic,103,
2022,June,Unincorporated Vic,Total,103,
2021,June,1 North West Metro, Banyule,"8,484","6,660.6"
2021,June,1 North West Metro, Brimbank,"19,219","9,770.1"
2021,June,1 North West Metro, Darebin,"14,717","9,789.5"
2021,June,1 North West Metro, Hobsons Bay,"5,594","6,062.3"
2021,June,1 North West Metro, Hume,"20,757","8,408.8"
2021,June,1 North West Metro, Maribyrnong,"8,828","10,217.8"
2021,June,1 North West Metro, Melbourne,"35,756","23,267.4"
2021,June,1 North West Metro, Melton,"13,526","7,463.7"
2021,June,1 North West Metro, Merri-bek,"12,835","7,395.9"
2021,June,1 North West Metro, Moonee Valley,"7,924","6,444.1"
2021,June,1 North West Metro, Nillumbik,"2,356","3,712.9"
2021,June,1 North West Metro, Whittlesea,"15,778","6,806.8"
2021,June,1 North West Metro, Wyndham,"17,413","5,878.9"
2021,June,1 North West Metro, Yarra,"13,286","14,513.4"
2021,June,1 North West Metro,Total,"196,473","8,872.8"
2021,June,2 Eastern, Alpine,531,"4,036.2"
2021,June,2 Eastern, Bass Coast,"3,164","7,785.2"
2021,June,2 Eastern, Baw Baw,"4,867","8,452.6"
2021,June,2 Eastern, Benalla,"1,473","10,207.2"
2021,June,2 Eastern, Boroondara,"7,253","4,269.0"
2021,June,2 Eastern, East Gippsland,"5,080","10,484.4"
2021,June,2 Eastern, Greater Shepparton,"9,658","14,094.7"
2021,June,2 Eastern, Indigo,620,"3,594.4"
2021,June,2 Eastern, Knox,"11,058","6,890.4"
2021,June,2 Eastern, Latrobe,"12,726","16,508.8"
2021,June,2 Eastern, Manningham,"4,664","3,706.7"
2021,June,2 Eastern, Mansfield,566,"5,597.3"
2021,June,2 Eastern, Maroondah,"7,957","6,854.8"
2021,June,2 Eastern, Mitchell,"5,135","10,335.3"
2021,June,2 Eastern, Moira,"2,432","8,012.9"
2021,June,2 Eastern, Monash,"12,689","6,572.9"
2021,June,2 Eastern, Murrindindi,920,"6,079.0"
2021,June,2 Eastern, South Gippsland,"1,905","6,271.0"
2021,June,2 Eastern, Strathbogie,611,"5,376.6"
2021,June,2 Eastern, Towong,223,"3,606.7"
2021,June,2 Eastern, Wangaratta,"3,115","10,474.1"
2021,June,2 Eastern, Wellington,"4,752","10,455.0"
2021,June,2 Eastern, Whitehorse,"8,709","5,088.0"
2021,June,2 Eastern, Wodonga,"3,409","7,894.3"
2021,June,2 Eastern, Yarra Ranges,"8,527","5,416.8"
2021,June,2 Eastern,Total,"122,044","7,168.0"
2021,June,3 Southern Metro, Bayside,"4,796","4,686.5"
2021,June,3 Southern Metro, Cardinia,"7,184","6,010.7"
2021,June,3 Southern Metro, Casey,"21,127","5,718.5"
2021,June,3 Southern Metro, Frankston,"13,543","9,618.0"
2021,June,3 Southern Metro, Glen Eira,"7,341","4,871.8"
2021,June,3 Southern Metro, Greater Dandenong,"18,285","11,415.9"
2021,June,3 Southern Metro, Kingston,"10,821","6,781.5"
2021,June,3 Southern Metro, Mornington Peninsula,"9,961","5,846.0"
2021,June,3 Southern Metro, Port Phillip,"13,445","12,989.3"
2021,June,3 Southern Metro, Stonnington,"11,434","10,758.6"
2021,June,3 Southern Metro,Total,"117,937","7,451.5"
2021,June,4 Western, Ararat,"1,793","15,167.9"
2021,June,4 Western, Ballarat,"9,714","8,559.9"
2021,June,4 Western, Buloke,411,"6,704.7"
2021,June,4 Western, Campaspe,"3,308","8,582.2"
2021,June,4 Western, Central Goldfields,"1,116","8,339.6"
2021,June,4 Western, Colac-Otway,"1,527","6,846.3"
2021,June,4 Western, Corangamite,859,"5,359.0"
2021,June,4 Western, Gannawarra,976,"9,197.1"
2021,June,4 Western, Glenelg,"1,703","8,491.2"
2021,June,4 Western, Golden Plains,604,"2,427.8"
2021,June,4 Western, Greater Bendigo,"10,968","9,047.9"
2021,June,4 Western, Greater Geelong,"21,244","7,845.6"
2021,June,4 Western, Hepburn,596,"3,617.4"
2021,June,4 Western, Hindmarsh,616,"10,891.1"
2021,June,4 Western, Horsham,"2,431","11,934.8"
2021,June,4 Western, Loddon,572,"7,428.6"
2021,June,4 Western, Macedon Ranges,"2,486","4,820.1"
2021,June,4 Western, Mildura,"5,966","10,472.4"
2021,June,4 Western, Moorabool,"2,635","6,953.4"
2021,June,4 Western, Mount Alexander,889,"4,421.6"
2021,June,4 Western, Moyne,645,"3,730.3"
2021,June,4 Western, Northern Grampians,"1,256","10,567.9"
2021,June,4 Western, Pyrenees,477,"6,265.6"
2021,June,4 Western, Queenscliffe,98,"3,029.4"
2021,June,4 Western, Southern Grampians,"1,060","6,428.9"
2021,June,4 Western, Surf Coast,"1,457","3,872.6"
2021,June,4 Western, Swan Hill,"2,606","12,187.3"
2021,June,4 Western, Warrnambool,"3,308","9,339.6"
2021,June,4 Western, West Wimmera,167,"4,199.1"
2021,June,4 Western, Yarriambiack,410,"6,297.0"
2021,June,4 Western,Total,"81,898","7,819.1"
2021,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"2,913",
2021,June,Justice Institutions and Immigration Facilities,Total,"2,913",
2021,June,Unincorporated Vic, Unincorporated Vic,52,
2021,June,Unincorporated Vic,Total,52,
2020,June,1 North West Metro, Banyule,"9,692","7,448.5"
2020,June,1 North West Metro, Brimbank,"20,233","9,918.2"
2020,June,1 North West Metro, Darebin,"15,163","9,665.8"
2020,June,1 North West Metro, Hobsons Bay,"6,097","6,413.2"
2020,June,1 North West Metro, Hume,"21,534","8,852.5"
2020,June,1 North West Metro, Maribyrnong,"9,394","10,518.8"
2020,June,1 North West Metro, Melbourne,"35,790","20,953.6"
2020,June,1 North West Metro, Melton,"13,365","7,715.1"
2020,June,1 North West Metro, Merri-bek,"14,334","7,971.5"
2020,June,1 North West Metro, Moonee Valley,"8,635","6,819.4"
2020,June,1 North West Metro, Nillumbik,"2,266","3,527.6"
2020,June,1 North West Metro, Whittlesea,"16,536","7,167.8"
2020,June,1 North West Metro, Wyndham,"17,556","6,121.4"
2020,June,1 North West Metro, Yarra,"14,141","14,646.8"
2020,June,1 North West Metro,Total,"204,736","9,110.0"
2020,June,2 Eastern, Alpine,595,"4,567.1"
2020,June,2 Eastern, Bass Coast,"2,590","6,663.4"
2020,June,2 Eastern, Baw Baw,"4,793","8,613.2"
2020,June,2 Eastern, Benalla,"1,221","8,504.0"
2020,June,2 Eastern, Boroondara,"8,801","4,952.1"
2020,June,2 Eastern, East Gippsland,"4,960","10,378.7"
2020,June,2 Eastern, Greater Shepparton,"8,838","12,925.2"
2020,June,2 Eastern, Indigo,563,"3,294.5"
2020,June,2 Eastern, Knox,"12,135","7,443.8"
2020,June,2 Eastern, Latrobe,"13,709","17,900.6"
2020,June,2 Eastern, Manningham,"4,719","3,692.0"
2020,June,2 Eastern, Mansfield,461,"4,717.6"
2020,June,2 Eastern, Maroondah,"7,995","6,767.7"
2020,June,2 Eastern, Mitchell,"4,689","9,772.0"
2020,June,2 Eastern, Moira,"2,446","8,087.6"
2020,June,2 Eastern, Monash,"12,062","6,011.7"
2020,June,2 Eastern, Murrindindi,837,"5,637.5"
2020,June,2 Eastern, South Gippsland,"1,666","5,512.5"
2020,June,2 Eastern, Strathbogie,568,"5,099.2"
2020,June,2 Eastern, Towong,224,"3,636.4"
2020,June,2 Eastern, Wangaratta,"2,502","8,490.6"
2020,June,2 Eastern, Wellington,"4,597","10,209.0"
2020,June,2 Eastern, Whitehorse,"9,332","5,283.6"
2020,June,2 Eastern, Wodonga,"3,848","9,035.4"
2020,June,2 Eastern, Yarra Ranges,"8,729","5,501.8"
2020,June,2 Eastern,Total,"122,880","7,136.7"
2020,June,3 Southern Metro, Bayside,"5,394","5,143.0"
2020,June,3 Southern Metro, Cardinia,"7,239","6,224.3"
2020,June,3 Southern Metro, Casey,"23,585","6,490.3"
2020,June,3 Southern Metro, Frankston,"15,049","10,599.1"
2020,June,3 Southern Metro, Glen Eira,"7,954","5,148.8"
2020,June,3 Southern Metro, Greater Dandenong,"18,921","11,434.1"
2020,June,3 Southern Metro, Kingston,"12,078","7,410.6"
2020,June,3 Southern Metro, Mornington Peninsula,"11,787","6,937.1"
2020,June,3 Southern Metro, Port Phillip,"13,033","11,796.7"
2020,June,3 Southern Metro, Stonnington,"12,148","10,795.9"
2020,June,3 Southern Metro,Total,"127,188","7,937.3"
2020,June,4 Western, Ararat,"1,392","11,701.4"
2020,June,4 Western, Ballarat,"11,123","9,977.9"
2020,June,4 Western, Buloke,366,"5,955.1"
2020,June,4 Western, Campaspe,"3,874","10,110.4"
2020,June,4 Western, Central Goldfields,"1,237","9,313.4"
2020,June,4 Western, Colac-Otway,"1,781","8,008.8"
2020,June,4 Western, Corangamite,711,"4,420.3"
2020,June,4 Western, Gannawarra,774,"7,330.9"
2020,June,4 Western, Glenelg,"1,597","7,974.6"
2020,June,4 Western, Golden Plains,630,"2,590.2"
2020,June,4 Western, Greater Bendigo,"11,223","9,371.9"
2020,June,4 Western, Greater Geelong,"22,827","8,596.3"
2020,June,4 Western, Hepburn,849,"5,205.4"
2020,June,4 Western, Hindmarsh,356,"6,289.8"
2020,June,4 Western, Horsham,"2,277","11,188.6"
2020,June,4 Western, Loddon,488,"6,384.1"
2020,June,4 Western, Macedon Ranges,"2,453","4,828.2"
2020,June,4 Western, Mildura,"7,491","13,083.1"
2020,June,4 Western, Moorabool,"2,214","6,002.9"
2020,June,4 Western, Mount Alexander,"1,101","5,531.0"
2020,June,4 Western, Moyne,653,"3,826.8"
2020,June,4 Western, Northern Grampians,"1,079","9,154.2"
2020,June,4 Western, Pyrenees,551,"7,317.4"
2020,June,4 Western, Queenscliffe,115,"3,722.9"
2020,June,4 Western, Southern Grampians,"1,191","7,227.4"
2020,June,4 Western, Surf Coast,"1,345","3,761.4"
2020,June,4 Western, Swan Hill,"2,416","11,251.9"
2020,June,4 Western, Warrnambool,"3,266","9,236.9"
2020,June,4 Western, West Wimmera,169,"4,237.7"
2020,June,4 Western, Yarriambiack,552,"8,322.0"
2020,June,4 Western,Total,"86,101","8,330.1"
2020,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"2,872",
2020,June,Justice Institutions and Immigration Facilities,Total,"2,872",
2020,June,Unincorporated Vic, Unincorporated Vic,158,
2020,June,Unincorporated Vic,Total,158,
2019,June,1 North West Metro, Banyule,"9,155","7,016.5"
2019,June,1 North West Metro, Brimbank,"18,725","9,062.9"
2019,June,1 North West Metro, Darebin,"14,555","9,261.1"
2019,June,1 North West Metro, Hobsons Bay,"6,266","6,545.8"
2019,June,1 North West Metro, Hume,"21,061","8,958.7"
2019,June,1 North West Metro, Maribyrnong,"8,269","9,251.7"
2019,June,1 North West Metro, Melbourne,"34,265","20,260.5"
2019,June,1 North West Metro, Melton,"11,273","6,819.9"
2019,June,1 North West Metro, Merri-bek,"14,246","7,951.1"
2019,June,1 North West Metro, Moonee Valley,"7,895","6,251.6"
2019,June,1 North West Metro, Nillumbik,"2,149","3,336.9"
2019,June,1 North West Metro, Whittlesea,"16,037","7,101.5"
2019,June,1 North West Metro, Wyndham,"15,327","5,617.3"
2019,June,1 North West Metro, Yarra,"13,182","13,665.9"
2019,June,1 North West Metro,Total,"192,405","8,690.9"
2019,June,2 Eastern, Alpine,601,"4,664.7"
2019,June,2 Eastern, Bass Coast,"2,448","6,548.6"
2019,June,2 Eastern, Baw Baw,"4,714","8,734.5"
2019,June,2 Eastern, Benalla,"1,292","9,086.4"
2019,June,2 Eastern, Boroondara,"7,266","4,046.9"
2019,June,2 Eastern, East Gippsland,"4,559","9,617.9"
2019,June,2 Eastern, Greater Shepparton,"8,804","13,011.9"
2019,June,2 Eastern, Indigo,572,"3,392.8"
2019,June,2 Eastern, Knox,"11,037","6,765.2"
2019,June,2 Eastern, Latrobe,"14,272","18,772.5"
2019,June,2 Eastern, Manningham,"4,721","3,724.7"
2019,June,2 Eastern, Mansfield,453,"4,818.1"
2019,June,2 Eastern, Maroondah,"8,240","6,991.9"
2019,June,2 Eastern, Mitchell,"4,522","9,765.1"
2019,June,2 Eastern, Moira,"2,338","7,778.0"
2019,June,2 Eastern, Monash,"10,545","5,281.6"
2019,June,2 Eastern, Murrindindi,737,"5,007.1"
2019,June,2 Eastern, South Gippsland,"1,583","5,296.6"
2019,June,2 Eastern, Strathbogie,657,"6,030.8"
2019,June,2 Eastern, Towong,205,"3,342.0"
2019,June,2 Eastern, Wangaratta,"2,362","8,033.2"
2019,June,2 Eastern, Wellington,"4,257","9,540.6"
2019,June,2 Eastern, Whitehorse,"8,575","4,879.4"
2019,June,2 Eastern, Wodonga,"3,292","7,832.9"
2019,June,2 Eastern, Yarra Ranges,"8,489","5,353.0"
2019,June,2 Eastern,Total,"116,541","6,810.8"
2019,June,3 Southern Metro, Bayside,"4,842","4,610.2"
2019,June,3 Southern Metro, Cardinia,"6,410","5,730.4"
2019,June,3 Southern Metro, Casey,"21,499","6,114.8"
2019,June,3 Southern Metro, Frankston,"14,376","10,136.9"
2019,June,3 Southern Metro, Glen Eira,"6,680","4,343.1"
2019,June,3 Southern Metro, Greater Dandenong,"18,125","10,907.4"
2019,June,3 Southern Metro, Kingston,"11,623","7,129.7"
2019,June,3 Southern Metro, Mornington Peninsula,"10,637","6,316.7"
2019,June,3 Southern Metro, Port Phillip,"12,305","11,015.1"
2019,June,3 Southern Metro, Stonnington,"10,529","9,257.2"
2019,June,3 Southern Metro,Total,"117,026","7,373.4"
2019,June,4 Western, Ararat,"1,302","11,013.4"
2019,June,4 Western, Ballarat,"10,879","9,921.6"
2019,June,4 Western, Buloke,253,"4,107.8"
2019,June,4 Western, Campaspe,"4,125","10,831.3"
2019,June,4 Western, Central Goldfields,"1,319","9,892.7"
2019,June,4 Western, Colac-Otway,"1,593","7,237.3"
2019,June,4 Western, Corangamite,672,"4,160.0"
2019,June,4 Western, Gannawarra,895,"8,484.2"
2019,June,4 Western, Glenelg,"1,433","7,175.8"
2019,June,4 Western, Golden Plains,602,"2,531.8"
2019,June,4 Western, Greater Bendigo,"11,248","9,527.1"
2019,June,4 Western, Greater Geelong,"20,724","7,977.5"
2019,June,4 Western, Hepburn,796,"4,949.6"
2019,June,4 Western, Hindmarsh,360,"6,358.2"
2019,June,4 Western, Horsham,"2,725","13,506.1"
2019,June,4 Western, Loddon,481,"6,312.3"
2019,June,4 Western, Macedon Ranges,"2,496","4,982.2"
2019,June,4 Western, Mildura,"7,199","12,694.6"
2019,June,4 Western, Moorabool,"2,221","6,212.8"
2019,June,4 Western, Mount Alexander,"1,102","5,601.9"
2019,June,4 Western, Moyne,636,"3,746.2"
2019,June,4 Western, Northern Grampians,997,"8,524.3"
2019,June,4 Western, Pyrenees,638,"8,577.6"
2019,June,4 Western, Queenscliffe,136,"4,582.2"
2019,June,4 Western, Southern Grampians,"1,385","8,465.8"
2019,June,4 Western, Surf Coast,"1,176","3,442.2"
2019,June,4 Western, Swan Hill,"2,609","12,199.0"
2019,June,4 Western, Warrnambool,"3,882","11,072.4"
2019,June,4 Western, West Wimmera,179,"4,504.3"
2019,June,4 Western, Yarriambiack,406,"6,087.9"
2019,June,4 Western,Total,"84,469","8,299.1"
2019,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"2,876",
2019,June,Justice Institutions and Immigration Facilities,Total,"2,876",
