Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2019,June,Unincorporated Vic, Unincorporated Vic,149,
2019,June,Unincorporated Vic,Total,149,
2018,June,1 North West Metro, Banyule,"9,683","7,474.4"
2018,June,1 North West Metro, Brimbank,"18,425","8,907.5"
2018,June,1 North West Metro, Darebin,"14,679","9,349.7"
2018,June,1 North West Metro, Hobsons Bay,"6,028","6,339.9"
2018,June,1 North West Metro, Hume,"20,212","8,970.1"
2018,June,1 North West Metro, Maribyrnong,"8,296","9,341.5"
2018,June,1 North West Metro, Melbourne,"37,501","22,941.7"
2018,June,1 North West Metro, Melton,"10,774","6,868.9"
2018,June,1 North West Metro, Merri-bek,"13,676","7,702.1"
2018,June,1 North West Metro, Moonee Valley,"8,834","7,044.9"
2018,June,1 North West Metro, Nillumbik,"2,195","3,403.5"
2018,June,1 North West Metro, Whittlesea,"15,404","6,988.6"
2018,June,1 North West Metro, Wyndham,"14,038","5,467.4"
2018,June,1 North West Metro, Yarra,"13,787","14,445.7"
2018,June,1 North West Metro,Total,"193,532","8,947.4"
2018,June,2 Eastern, Alpine,500,"3,904.1"
2018,June,2 Eastern, Bass Coast,"2,170","6,020.9"
2018,June,2 Eastern, Baw Baw,"4,079","7,785.5"
2018,June,2 Eastern, Benalla,"1,308","9,247.1"
2018,June,2 Eastern, Boroondara,"6,852","3,821.6"
2018,June,2 Eastern, East Gippsland,"4,372","9,334.9"
2018,June,2 Eastern, Greater Shepparton,"8,352","12,507.7"
2018,June,2 Eastern, Indigo,410,"2,470.2"
2018,June,2 Eastern, Knox,"11,350","6,991.5"
2018,June,2 Eastern, Latrobe,"13,888","18,391.5"
2018,June,2 Eastern, Manningham,"4,708","3,766.5"
2018,June,2 Eastern, Mansfield,585,"6,399.0"
2018,June,2 Eastern, Maroondah,"7,955","6,797.2"
2018,June,2 Eastern, Mitchell,"4,400","9,885.0"
2018,June,2 Eastern, Moira,"1,979","6,622.9"
2018,June,2 Eastern, Monash,"10,728","5,420.3"
2018,June,2 Eastern, Murrindindi,731,"5,024.7"
2018,June,2 Eastern, South Gippsland,"1,366","4,618.5"
2018,June,2 Eastern, Strathbogie,592,"5,520.3"
2018,June,2 Eastern, Towong,207,"3,396.8"
2018,June,2 Eastern, Wangaratta,"2,356","8,057.2"
2018,June,2 Eastern, Wellington,"3,695","8,361.4"
2018,June,2 Eastern, Whitehorse,"8,131","4,664.1"
2018,June,2 Eastern, Wodonga,"3,315","7,988.1"
2018,June,2 Eastern, Yarra Ranges,"7,875","4,993.8"
2018,June,2 Eastern,Total,"111,904","6,605.4"
2018,June,3 Southern Metro, Bayside,"4,767","4,559.8"
2018,June,3 Southern Metro, Cardinia,"5,835","5,461.4"
2018,June,3 Southern Metro, Casey,"20,162","5,968.9"
2018,June,3 Southern Metro, Frankston,"14,783","10,453.6"
2018,June,3 Southern Metro, Glen Eira,"6,548","4,299.7"
2018,June,3 Southern Metro, Greater Dandenong,"18,346","11,132.3"
2018,June,3 Southern Metro, Kingston,"10,527","6,515.8"
2018,June,3 Southern Metro, Mornington Peninsula,"10,879","6,537.2"
2018,June,3 Southern Metro, Port Phillip,"12,849","11,609.6"
2018,June,3 Southern Metro, Stonnington,"10,547","9,310.0"
2018,June,3 Southern Metro,Total,"115,243","7,389.2"
2018,June,4 Western, Ararat,"1,288","10,922.7"
2018,June,4 Western, Ballarat,"11,422","10,623.3"
2018,June,4 Western, Buloke,247,"3,978.7"
2018,June,4 Western, Campaspe,"3,570","9,416.3"
2018,June,4 Western, Central Goldfields,"1,603","12,037.2"
2018,June,4 Western, Colac-Otway,"1,586","7,273.9"
2018,June,4 Western, Corangamite,849,"5,234.9"
2018,June,4 Western, Gannawarra,568,"5,362.5"
2018,June,4 Western, Glenelg,"1,544","7,767.8"
2018,June,4 Western, Golden Plains,681,"2,939.5"
2018,June,4 Western, Greater Bendigo,"9,735","8,386.9"
2018,June,4 Western, Greater Geelong,"21,593","8,537.5"
2018,June,4 Western, Hepburn,842,"5,300.6"
2018,June,4 Western, Hindmarsh,334,"5,874.1"
2018,June,4 Western, Horsham,"2,482","12,382.1"
2018,June,4 Western, Loddon,412,"5,424.6"
2018,June,4 Western, Macedon Ranges,"2,096","4,255.5"
2018,June,4 Western, Mildura,"6,642","11,837.3"
2018,June,4 Western, Moorabool,"2,296","6,630.1"
2018,June,4 Western, Mount Alexander,869,"4,460.8"
2018,June,4 Western, Moyne,537,"3,180.9"
2018,June,4 Western, Northern Grampians,"1,022","8,792.2"
2018,June,4 Western, Pyrenees,420,"5,737.7"
2018,June,4 Western, Queenscliffe,294,"9,962.7"
2018,June,4 Western, Southern Grampians,"1,508","9,265.2"
2018,June,4 Western, Surf Coast,"1,129","3,451.0"
2018,June,4 Western, Swan Hill,"2,518","11,863.9"
2018,June,4 Western, Warrnambool,"3,659","10,517.1"
2018,June,4 Western, West Wimmera,159,"4,013.1"
2018,June,4 Western, Yarriambiack,523,"7,814.1"
2018,June,4 Western,Total,"82,428","8,238.5"
2018,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"2,541",
2018,June,Justice Institutions and Immigration Facilities,Total,"2,541",
2018,June,Unincorporated Vic, Unincorporated Vic,126,
2018,June,Unincorporated Vic,Total,126,
2017,June,1 North West Metro, Banyule,"9,657","7,509.3"
2017,June,1 North West Metro, Brimbank,"17,862","8,669.4"
2017,June,1 North West Metro, Darebin,"16,355","10,453.0"
2017,June,1 North West Metro, Hobsons Bay,"6,321","6,688.7"
2017,June,1 North West Metro, Hume,"21,915","10,139.4"
2017,June,1 North West Metro, Maribyrnong,"8,686","9,861.2"
2017,June,1 North West Metro, Melbourne,"36,963","23,694.2"
2017,June,1 North West Metro, Melton,"11,147","7,500.4"
2017,June,1 North West Metro, Merri-bek,"13,913","7,948.5"
2017,June,1 North West Metro, Moonee Valley,"9,431","7,589.4"
2017,June,1 North West Metro, Nillumbik,"2,744","4,261.8"
2017,June,1 North West Metro, Whittlesea,"16,114","7,518.5"
2017,June,1 North West Metro, Wyndham,"14,731","6,101.4"
2017,June,1 North West Metro, Yarra,"13,429","14,215.8"
2017,June,1 North West Metro,Total,"199,268","9,451.3"
2017,June,2 Eastern, Alpine,379,"2,989.2"
2017,June,2 Eastern, Bass Coast,"2,647","7,622.5"
2017,June,2 Eastern, Baw Baw,"3,872","7,614.3"
2017,June,2 Eastern, Benalla,"1,309","9,322.7"
2017,June,2 Eastern, Boroondara,"8,350","4,675.5"
2017,June,2 Eastern, East Gippsland,"3,887","8,414.9"
2017,June,2 Eastern, Greater Shepparton,"8,324","12,626.9"
2017,June,2 Eastern, Indigo,458,"2,795.6"
2017,June,2 Eastern, Knox,"12,104","7,496.9"
2017,June,2 Eastern, Latrobe,"13,927","18,557.5"
2017,June,2 Eastern, Manningham,"5,194","4,186.3"
2017,June,2 Eastern, Mansfield,637,"7,164.5"
2017,June,2 Eastern, Maroondah,"8,926","7,683.4"
2017,June,2 Eastern, Mitchell,"4,582","10,650.6"
2017,June,2 Eastern, Moira,"1,977","6,656.8"
2017,June,2 Eastern, Monash,"11,721","5,992.0"
2017,June,2 Eastern, Murrindindi,671,"4,698.2"
2017,June,2 Eastern, South Gippsland,"1,587","5,407.9"
2017,June,2 Eastern, Strathbogie,632,"6,003.6"
2017,June,2 Eastern, Towong,207,"3,415.8"
2017,June,2 Eastern, Wangaratta,"2,473","8,546.4"
2017,June,2 Eastern, Wellington,"4,386","10,002.5"
2017,June,2 Eastern, Whitehorse,"8,544","4,958.4"
2017,June,2 Eastern, Wodonga,"3,266","8,002.4"
2017,June,2 Eastern, Yarra Ranges,"8,540","5,452.7"
2017,June,2 Eastern,Total,"118,600","7,075.9"
2017,June,3 Southern Metro, Bayside,"5,159","4,978.7"
2017,June,3 Southern Metro, Cardinia,"6,606","6,463.6"
2017,June,3 Southern Metro, Casey,"23,498","7,235.1"
2017,June,3 Southern Metro, Frankston,"15,822","11,258.5"
2017,June,3 Southern Metro, Glen Eira,"7,532","4,999.8"
2017,June,3 Southern Metro, Greater Dandenong,"19,900","12,218.7"
2017,June,3 Southern Metro, Kingston,"11,282","7,048.2"
2017,June,3 Southern Metro, Mornington Peninsula,"11,638","7,091.8"
2017,June,3 Southern Metro, Port Phillip,"13,589","12,411.4"
2017,June,3 Southern Metro, Stonnington,"10,830","9,660.8"
2017,June,3 Southern Metro,Total,"125,856","8,223.7"
2017,June,4 Western, Ararat,"1,304","11,060.2"
2017,June,4 Western, Ballarat,"11,967","11,343.3"
2017,June,4 Western, Buloke,177,"2,846.6"
2017,June,4 Western, Campaspe,"3,539","9,367.4"
2017,June,4 Western, Central Goldfields,"1,227","9,300.4"
2017,June,4 Western, Colac-Otway,"2,095","9,705.8"
2017,June,4 Western, Corangamite,"1,080","6,637.2"
2017,June,4 Western, Gannawarra,664,"6,265.9"
2017,June,4 Western, Glenelg,"1,664","8,407.0"
2017,June,4 Western, Golden Plains,752,"3,327.4"
2017,June,4 Western, Greater Bendigo,"10,556","9,243.2"
2017,June,4 Western, Greater Geelong,"22,670","9,206.4"
2017,June,4 Western, Hepburn,849,"5,408.3"
2017,June,4 Western, Hindmarsh,411,"7,179.0"
2017,June,4 Western, Horsham,"2,578","12,911.3"
2017,June,4 Western, Loddon,411,"5,432.9"
2017,June,4 Western, Macedon Ranges,"2,221","4,590.0"
2017,June,4 Western, Mildura,"6,763","12,205.4"
2017,June,4 Western, Moorabool,"2,513","7,463.4"
2017,June,4 Western, Mount Alexander,"1,117","5,791.5"
2017,June,4 Western, Moyne,705,"4,203.7"
2017,June,4 Western, Northern Grampians,"1,252","10,806.1"
2017,June,4 Western, Pyrenees,543,"7,418.0"
2017,June,4 Western, Queenscliffe,151,"5,169.5"
2017,June,4 Western, Southern Grampians,"1,330","8,210.4"
2017,June,4 Western, Surf Coast,"1,316","4,173.1"
2017,June,4 Western, Swan Hill,"2,288","10,864.7"
2017,June,4 Western, Warrnambool,"3,452","10,005.5"
2017,June,4 Western, West Wimmera,198,"5,011.4"
2017,June,4 Western, Yarriambiack,454,"6,771.1"
2017,June,4 Western,Total,"86,247","8,764.7"
2017,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"2,055",
2017,June,Justice Institutions and Immigration Facilities,Total,"2,055",
2017,June,Unincorporated Vic, Unincorporated Vic,138,
2017,June,Unincorporated Vic,Total,138,
2016,June,1 North West Metro, Banyule,"10,015","7,858.2"
2016,June,1 North West Metro, Brimbank,"19,604","9,600.9"
2016,June,1 North West Metro, Darebin,"16,580","10,688.1"
2016,June,1 North West Metro, Hobsons Bay,"6,994","7,484.6"
2016,June,1 North West Metro, Hume,"22,598","10,914.7"
2016,June,1 North West Metro, Maribyrnong,"9,304","10,701.4"
2016,June,1 North West Metro, Melbourne,"36,188","24,770.0"
2016,June,1 North West Metro, Melton,"12,179","8,611.9"
2016,June,1 North West Metro, Merri-bek,"14,740","8,555.1"
2016,June,1 North West Metro, Moonee Valley,"9,285","7,556.7"
2016,June,1 North West Metro, Nillumbik,"3,463","5,396.3"
2016,June,1 North West Metro, Whittlesea,"15,500","7,485.8"
2016,June,1 North West Metro, Wyndham,"15,712","6,921.3"
2016,June,1 North West Metro, Yarra,"13,836","14,894.4"
2016,June,1 North West Metro,Total,"205,998","10,058.5"
2016,June,2 Eastern, Alpine,425,"3,378.9"
2016,June,2 Eastern, Bass Coast,"3,032","9,060.5"
2016,June,2 Eastern, Baw Baw,"4,135","8,388.1"
2016,June,2 Eastern, Benalla,"1,519","10,864.0"
2016,June,2 Eastern, Boroondara,"8,064","4,548.8"
2016,June,2 Eastern, East Gippsland,"4,305","9,440.8"
2016,June,2 Eastern, Greater Shepparton,"8,044","12,361.7"
2016,June,2 Eastern, Indigo,464,"2,870.4"
2016,June,2 Eastern, Knox,"10,662","6,649.1"
2016,June,2 Eastern, Latrobe,"14,090","18,881.8"
2016,June,2 Eastern, Manningham,"4,492","3,664.8"
2016,June,2 Eastern, Mansfield,563,"6,490.7"
2016,June,2 Eastern, Maroondah,"8,568","7,463.4"
2016,June,2 Eastern, Mitchell,"4,384","10,489.3"
2016,June,2 Eastern, Moira,"1,722","5,840.1"
2016,June,2 Eastern, Monash,"12,230","6,349.1"
2016,June,2 Eastern, Murrindindi,735,"5,230.6"
2016,June,2 Eastern, South Gippsland,"1,367","4,694.0"
2016,June,2 Eastern, Strathbogie,586,"5,658.0"
2016,June,2 Eastern, Towong,257,"4,250.7"
2016,June,2 Eastern, Wangaratta,"2,553","8,929.1"
2016,June,2 Eastern, Wellington,"4,636","10,650.1"
2016,June,2 Eastern, Whitehorse,"8,217","4,843.8"
2016,June,2 Eastern, Wodonga,"3,460","8,628.4"
2016,June,2 Eastern, Yarra Ranges,"8,836","5,692.3"
2016,June,2 Eastern,Total,"117,346","7,090.3"
2016,June,3 Southern Metro, Bayside,"5,075","4,931.4"
2016,June,3 Southern Metro, Cardinia,"7,660","7,850.5"
2016,June,3 Southern Metro, Casey,"22,768","7,279.0"
2016,June,3 Southern Metro, Frankston,"16,065","11,516.0"
2016,June,3 Southern Metro, Glen Eira,"6,863","4,619.0"
2016,June,3 Southern Metro, Greater Dandenong,"20,635","12,879.0"
2016,June,3 Southern Metro, Kingston,"11,302","7,110.8"
2016,June,3 Southern Metro, Mornington Peninsula,"11,633","7,201.8"
2016,June,3 Southern Metro, Port Phillip,"12,852","11,831.3"
2016,June,3 Southern Metro, Stonnington,"10,730","9,666.4"
2016,June,3 Southern Metro,Total,"125,583","8,362.8"
2016,June,4 Western, Ararat,"1,223","10,412.9"
2016,June,4 Western, Ballarat,"11,616","11,223.2"
2016,June,4 Western, Buloke,253,"4,026.1"
2016,June,4 Western, Campaspe,"3,557","9,461.4"
2016,June,4 Western, Central Goldfields,"1,579","12,065.4"
2016,June,4 Western, Colac-Otway,"1,862","8,716.4"
2016,June,4 Western, Corangamite,810,"4,986.8"
2016,June,4 Western, Gannawarra,559,"5,290.1"
2016,June,4 Western, Glenelg,"1,592","8,057.1"
2016,June,4 Western, Golden Plains,832,"3,779.1"
2016,June,4 Western, Greater Bendigo,"9,589","8,541.2"
2016,June,4 Western, Greater Geelong,"23,199","9,685.3"
2016,June,4 Western, Hepburn,847,"5,455.7"
2016,June,4 Western, Hindmarsh,300,"5,186.7"
2016,June,4 Western, Horsham,"2,893","14,549.4"
2016,June,4 Western, Loddon,496,"6,562.6"
2016,June,4 Western, Macedon Ranges,"2,391","5,035.8"
2016,June,4 Western, Mildura,"6,303","11,531.7"
2016,June,4 Western, Moorabool,"2,321","7,103.9"
2016,June,4 Western, Mount Alexander,"1,224","6,409.4"
2016,June,4 Western, Moyne,586,"3,501.2"
2016,June,4 Western, Northern Grampians,"1,173","10,138.3"
2016,June,4 Western, Pyrenees,579,"7,914.2"
2016,June,4 Western, Queenscliffe,154,"5,257.8"
2016,June,4 Western, Southern Grampians,"1,222","7,579.2"
2016,June,4 Western, Surf Coast,"1,543","5,064.8"
2016,June,4 Western, Swan Hill,"2,262","10,825.0"
2016,June,4 Western, Warrnambool,"3,029","8,845.9"
2016,June,4 Western, West Wimmera,202,"5,130.8"
2016,June,4 Western, Yarriambiack,500,"7,415.1"
2016,June,4 Western,Total,"84,696","8,753.5"
2016,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,635",
2016,June,Justice Institutions and Immigration Facilities,Total,"1,635",
2016,June,Unincorporated Vic, Unincorporated Vic,128,
2016,June,Unincorporated Vic,Total,128,
2015,June,1 North West Metro, Banyule,"8,951","7,099.0"
2015,June,1 North West Metro, Brimbank,"18,151","9,036.6"
2015,June,1 North West Metro, Darebin,"14,395","9,472.0"
2015,June,1 North West Metro, Hobsons Bay,"6,774","7,389.2"
2015,June,1 North West Metro, Hume,"18,935","9,554.6"
2015,June,1 North West Metro, Maribyrnong,"7,906","9,325.0"
2015,June,1 North West Metro, Melbourne,"34,549","25,241.8"
2015,June,1 North West Metro, Melton,"10,143","7,518.1"
2015,June,1 North West Metro, Merri-bek,"12,923","7,698.2"
2015,June,1 North West Metro, Moonee Valley,"9,034","7,513.9"
2015,June,1 North West Metro, Nillumbik,"2,240","3,517.9"
2015,June,1 North West Metro, Whittlesea,"12,990","6,599.0"
2015,June,1 North West Metro, Wyndham,"12,946","6,054.8"
2015,June,1 North West Metro, Yarra,"12,668","14,087.6"
2015,June,1 North West Metro,Total,"182,605","9,233.2"
2015,June,2 Eastern, Alpine,444,"3,572.3"
2015,June,2 Eastern, Bass Coast,"2,599","7,978.3"
2015,June,2 Eastern, Baw Baw,"3,584","7,492.1"
2015,June,2 Eastern, Benalla,"1,083","7,778.5"
2015,June,2 Eastern, Boroondara,"6,583","3,767.0"
2015,June,2 Eastern, East Gippsland,"4,121","9,184.7"
2015,June,2 Eastern, Greater Shepparton,"7,360","11,412.8"
2015,June,2 Eastern, Indigo,471,"2,958.2"
2015,June,2 Eastern, Knox,"9,753","6,145.6"
2015,June,2 Eastern, Latrobe,"12,909","17,382.1"
2015,June,2 Eastern, Manningham,"4,325","3,580.7"
2015,June,2 Eastern, Mansfield,435,"5,099.6"
2015,June,2 Eastern, Maroondah,"7,810","6,910.1"
2015,June,2 Eastern, Mitchell,"3,684","9,149.6"
2015,June,2 Eastern, Moira,"1,480","5,053.3"
2015,June,2 Eastern, Monash,"9,411","4,974.8"
2015,June,2 Eastern, Murrindindi,641,"4,628.8"
2015,June,2 Eastern, South Gippsland,"1,231","4,277.1"
2015,June,2 Eastern, Strathbogie,494,"4,855.0"
2015,June,2 Eastern, Towong,170,"2,831.0"
2015,June,2 Eastern, Wangaratta,"2,450","8,705.5"
2015,June,2 Eastern, Wellington,"4,194","9,714.6"
2015,June,2 Eastern, Whitehorse,"7,501","4,500.3"
2015,June,2 Eastern, Wodonga,"3,278","8,357.3"
2015,June,2 Eastern, Yarra Ranges,"7,070","4,609.1"
2015,June,2 Eastern,Total,"103,081","6,323.0"
2015,June,3 Southern Metro, Bayside,"4,286","4,232.3"
2015,June,3 Southern Metro, Cardinia,"6,333","6,861.5"
2015,June,3 Southern Metro, Casey,"19,448","6,492.9"
2015,June,3 Southern Metro, Frankston,"14,513","10,532.7"
2015,June,3 Southern Metro, Glen Eira,"5,787","3,965.8"
2015,June,3 Southern Metro, Greater Dandenong,"17,307","11,089.9"
2015,June,3 Southern Metro, Kingston,"10,235","6,550.7"
2015,June,3 Southern Metro, Mornington Peninsula,"10,535","6,632.8"
2015,June,3 Southern Metro, Port Phillip,"11,959","11,241.7"
2015,June,3 Southern Metro, Stonnington,"9,797","9,068.9"
2015,June,3 Southern Metro,Total,"110,200","7,535.8"
2015,June,4 Western, Ararat,"1,138","9,773.3"
2015,June,4 Western, Ballarat,"11,021","10,860.4"
2015,June,4 Western, Buloke,230,"3,647.3"
2015,June,4 Western, Campaspe,"3,005","8,028.5"
2015,June,4 Western, Central Goldfields,"1,078","8,324.3"
2015,June,4 Western, Colac-Otway,"1,349","6,354.2"
2015,June,4 Western, Corangamite,638,"3,920.4"
2015,June,4 Western, Gannawarra,531,"5,039.9"
2015,June,4 Western, Glenelg,"1,799","9,121.8"
2015,June,4 Western, Golden Plains,656,"3,067.1"
2015,June,4 Western, Greater Bendigo,"8,471","7,707.4"
2015,June,4 Western, Greater Geelong,"19,157","8,224.5"
2015,June,4 Western, Hepburn,743,"4,845.4"
2015,June,4 Western, Hindmarsh,197,"3,391.9"
2015,June,4 Western, Horsham,"2,829","14,293.7"
2015,June,4 Western, Loddon,337,"4,474.8"
2015,June,4 Western, Macedon Ranges,"2,146","4,627.7"
2015,June,4 Western, Mildura,"5,907","10,907.4"
2015,June,4 Western, Moorabool,"2,041","6,428.8"
2015,June,4 Western, Mount Alexander,955,"5,081.4"
2015,June,4 Western, Moyne,617,"3,718.9"
2015,June,4 Western, Northern Grampians,"1,099","9,438.3"
2015,June,4 Western, Pyrenees,500,"6,964.8"
2015,June,4 Western, Queenscliffe,150,"5,114.2"
2015,June,4 Western, Southern Grampians,"1,038","6,422.5"
2015,June,4 Western, Surf Coast,"1,376","4,644.7"
2015,June,4 Western, Swan Hill,"2,222","10,635.1"
2015,June,4 Western, Warrnambool,"2,978","8,757.5"
2015,June,4 Western, West Wimmera,155,"3,900.4"
2015,June,4 Western, Yarriambiack,377,"5,523.0"
2015,June,4 Western,Total,"74,740","7,857.8"
2015,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,041",
2015,June,Justice Institutions and Immigration Facilities,Total,"1,041",
2015,June,Unincorporated Vic, Unincorporated Vic,127,
2015,June,Unincorporated Vic,Total,127,
2014,June,1 North West Metro, Banyule,"9,880","7,897.2"
2014,June,1 North West Metro, Brimbank,"18,169","9,154.6"
2014,June,1 North West Metro, Darebin,"13,669","9,142.5"
2014,June,1 North West Metro, Hobsons Bay,"6,903","7,634.6"
2014,June,1 North West Metro, Hume,"16,618","8,687.9"
2014,June,1 North West Metro, Maribyrnong,"8,683","10,529.6"
2014,June,1 North West Metro, Melbourne,"31,735","24,797.8"
2014,June,1 North West Metro, Melton,"9,488","7,337.5"
2014,June,1 North West Metro, Merri-bek,"12,384","7,546.7"
2014,June,1 North West Metro, Moonee Valley,"8,322","7,066.7"
2014,June,1 North West Metro, Nillumbik,"2,117","3,337.4"
2014,June,1 North West Metro, Whittlesea,"14,053","7,479.0"
2014,June,1 North West Metro, Wyndham,"13,101","6,501.3"
2014,June,1 North West Metro, Yarra,"12,293","14,093.0"
2014,June,1 North West Metro,Total,"177,415","9,257.4"
2014,June,2 Eastern, Alpine,548,"4,435.5"
2014,June,2 Eastern, Bass Coast,"2,749","8,613.0"
2014,June,2 Eastern, Baw Baw,"3,469","7,437.2"
2014,June,2 Eastern, Benalla,"1,147","8,253.0"
2014,June,2 Eastern, Boroondara,"7,337","4,249.4"
2014,June,2 Eastern, East Gippsland,"3,684","8,320.3"
2014,June,2 Eastern, Greater Shepparton,"6,862","10,735.5"
2014,June,2 Eastern, Indigo,488,"3,102.0"
2014,June,2 Eastern, Knox,"9,686","6,152.4"
2014,June,2 Eastern, Latrobe,"10,604","14,303.8"
2014,June,2 Eastern, Manningham,"4,193","3,510.6"
2014,June,2 Eastern, Mansfield,469,"5,586.7"
2014,June,2 Eastern, Maroondah,"7,337","6,584.9"
2014,June,2 Eastern, Mitchell,"3,239","8,287.3"
2014,June,2 Eastern, Moira,"1,441","4,951.9"
2014,June,2 Eastern, Monash,"8,825","4,740.8"
2014,June,2 Eastern, Murrindindi,690,"5,041.3"
2014,June,2 Eastern, South Gippsland,"1,143","4,007.6"
2014,June,2 Eastern, Strathbogie,514,"5,130.8"
2014,June,2 Eastern, Towong,263,"4,396.5"
2014,June,2 Eastern, Wangaratta,"2,439","8,753.9"
2014,June,2 Eastern, Wellington,"4,091","9,525.5"
2014,June,2 Eastern, Whitehorse,"7,373","4,487.0"
2014,June,2 Eastern, Wodonga,"3,030","7,897.0"
2014,June,2 Eastern, Yarra Ranges,"7,104","4,674.7"
2014,June,2 Eastern,Total,"98,725","6,131.1"
2014,June,3 Southern Metro, Bayside,"4,259","4,267.7"
2014,June,3 Southern Metro, Cardinia,"5,870","6,665.2"
2014,June,3 Southern Metro, Casey,"16,147","5,607.8"
2014,June,3 Southern Metro, Frankston,"14,873","10,921.5"
2014,June,3 Southern Metro, Glen Eira,"5,639","3,924.3"
2014,June,3 Southern Metro, Greater Dandenong,"15,846","10,415.7"
2014,June,3 Southern Metro, Kingston,"9,578","6,211.0"
2014,June,3 Southern Metro, Mornington Peninsula,"10,108","6,458.8"
2014,June,3 Southern Metro, Port Phillip,"11,304","10,822.3"
2014,June,3 Southern Metro, Stonnington,"9,623","9,087.4"
2014,June,3 Southern Metro,Total,"103,247","7,225.8"
2014,June,4 Western, Ararat,968,"8,373.7"
2014,June,4 Western, Ballarat,"9,795","9,803.4"
2014,June,4 Western, Buloke,195,"3,078.1"
2014,June,4 Western, Campaspe,"2,731","7,314.3"
2014,June,4 Western, Central Goldfields,"1,026","7,963.4"
2014,June,4 Western, Colac-Otway,"1,616","7,647.5"
2014,June,4 Western, Corangamite,639,"3,910.6"
2014,June,4 Western, Gannawarra,570,"5,411.0"
2014,June,4 Western, Glenelg,"1,578","7,987.9"
2014,June,4 Western, Golden Plains,503,"2,406.8"
2014,June,4 Western, Greater Bendigo,"8,325","7,711.5"
2014,June,4 Western, Greater Geelong,"17,096","7,506.7"
2014,June,4 Western, Hepburn,603,"3,971.3"
2014,June,4 Western, Hindmarsh,218,"3,730.3"
2014,June,4 Western, Horsham,"1,966","9,955.4"
2014,June,4 Western, Loddon,551,"7,334.0"
2014,June,4 Western, Macedon Ranges,"1,928","4,240.1"
2014,June,4 Western, Mildura,"5,766","10,730.0"
2014,June,4 Western, Moorabool,"1,787","5,752.3"
2014,June,4 Western, Mount Alexander,891,"4,816.0"
2014,June,4 Western, Moyne,626,"3,791.2"
2014,June,4 Western, Northern Grampians,906,"7,693.0"
2014,June,4 Western, Pyrenees,440,"6,243.8"
2014,June,4 Western, Queenscliffe,103,"3,468.0"
2014,June,4 Western, Southern Grampians,"1,081","6,650.3"
2014,June,4 Western, Surf Coast,"1,304","4,516.2"
2014,June,4 Western, Swan Hill,"1,933","9,231.1"
2014,June,4 Western, Warrnambool,"2,645","7,841.9"
2014,June,4 Western, West Wimmera,160,"3,962.4"
2014,June,4 Western, Yarriambiack,294,"4,246.1"
2014,June,4 Western,Total,"68,244","7,271.5"
2014,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,133",
2014,June,Justice Institutions and Immigration Facilities,Total,"1,133",
2014,June,Unincorporated Vic, Unincorporated Vic,63,
2014,June,Unincorporated Vic,Total,63,